country,Year,success,internationalAttack,attackType,targetTypeTitle,targetType,targetSubtype,terroristGroup,numberKilled,numberWounded
Spain               ,1994,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Basque Fatherland and Freedom (ETA)               ,0,2
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,1,1,Assassinato                 ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,1,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Utilidades                     ,Eletricidade ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Telecomunicações             ,Desconhecido                                           ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Telecomunicações             ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Irish Republican Army (IRA)                       ,0,0
Cyprus              ,1994,1,0,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,2,0
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Industrial                                        ,Desconhecido                                           ,0,1
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Industrial                                        ,Desconhecido                                           ,0,1
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Industrial                                        ,Desconhecido                                           ,0,1
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Industrial                                        ,Desconhecido                                           ,0,0
Germany             ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Left-Wing Terrorists                              ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Basque Fatherland and Freedom (ETA)               ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Desconhecido                                           ,0,0
Greece              ,1994,0,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Italy               ,1994,1,0,Assalto                       ,TargetType,Religião,Religião Figure                                  ,Neo-Nazi extremists                               ,0,1
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Medical                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,1,0
United Kingdom      ,1994,0,1,Assalto                       ,TargetType,Negócios                 ,Entretenimento         ,Ulster Volunteer Force (UVF)                      ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,3
United Kingdom      ,1994,0,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Hungary             ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,2,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Instituto Educacional    , Edifício Educacional,Ulster Freedom Fighters (UFF)                     ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Ulster Freedom Fighters (UFF)                     ,0,0
United Kingdom      ,1994,1,0,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish National Liberation Army (INLA)             ,3,1
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Negócios                 ,Lojistas                                            ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Ulster Volunteer Force (UVF)                      ,1,0
Germany             ,1994,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Neo-Nazi extremists                               ,0,0
Spain               ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,0,1
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,6,5
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
Greece              ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Revolutionary People's Struggle (ELA)             ,0,0
Italy               ,1994,1,0,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1994,1,0,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1994,1,0,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1994,1,0,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1994,1,0,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Italy               ,1994,1,0,Desconhecido                       ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,1
France              ,1994,1,0,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
Greece              ,1994,1,1,Infraestrutura      ,TargetType,Governo                  ,Embaixada                                           ,Kurdistan Workers' Party (PKK)                    ,0,0
Greece              ,1994,1,1,Assassinato                 ,TargetType,Governo                  ,Embaixada                                           ,November 17 Revolutionary Organização (N17RO)    ,1,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,1
Croatia             ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Desconhecido                                           ,0,0
Italy               ,1994,0,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Irish Republican Extremists                       ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Revolutionary People's Struggle (ELA)             ,0,0
Greece              ,1994,1,1,Bombardeamento             ,TargetType,Tourists                      ,Desconhecido                                           ,Desconhecido                                           ,0,2
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Politicos                                      ,Irish Republican Army (IRA)                       ,1,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Tourists                      ,Desconhecido                                           ,Desconhecido                                           ,0,1
Greece              ,1994,1,1,Bombardeamento             ,TargetType,Tourists                      ,Desconhecido                                           ,Desconhecido                                           ,0,5
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Irish Republican Army (IRA)                       ,0,0
Greece              ,1994,1,0,Assalto                       ,TargetType,Tourists                      ,Desconhecido                                           ,Arsonists                                         ,0,0
United Kingdom      ,1994,1,1,Assalto                       ,TargetType,Governo                  ,Instituições Governamentais                                      ,Irish Republican Army (IRA)                       ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Corsican Farmers' Front                           ,0,0
Germany             ,1994,1,0,Assalto                       ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Reféns               ,TargetType,Desconhecido                       ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Ulster Freedom Fighters (UFF)                     ,0,1
United Kingdom      ,1994,1,1,Assalto                       ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,0,5
France              ,1994,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,1,8
France              ,1994,1,0,Desconhecido                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Youths                                            ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,1,0
United Kingdom      ,1994,1,1,Assalto                       ,TargetType,Negócios                 ,Lojistas                                            ,Ulster Freedom Fighters (UFF)                     ,0,7
Italy               ,1994,0,0,Bombardeamento             ,TargetType,Governo                  ,Organização                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Germany             ,1994,1,0,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Monumento           ,Neo-Nazi extremists                               ,0,0
Germany             ,1994,1,1,Assalto                       ,TargetType,Negócios                 ,Lojistas                                            ,Kurdistan Workers' Party (PKK)                    ,0,3
Hungary             ,1994,1,1,Bombardeamento             ,TargetType,Religião,Local de Culto                                  ,Serbian Gangsters                                 ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Entretenimento         ,Corsican National Liberation Front         ,0,2
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Embaixada                                           ,Desconhecido                                           ,0,14
Spain               ,1994,1,0,Assassinato                 ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,1,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,5
Czech Republic      ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Corporações                                       ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Iparretarrak (IK)                                 ,0,0
Spain               ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Pessoal Militar                                ,Basque Fatherland and Freedom (ETA)               ,3,14
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,28
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Terrorists                    ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,2,0
Estonia             ,1994,1,0,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Desconhecido                                           ,0,0
Estonia             ,1994,1,0,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Desconhecido                                           ,0,0
Estonia             ,1994,1,0,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Desconhecido                                           ,0,0
Estonia             ,1994,1,0,Bombardeamento             ,TargetType,Desconhecido                       ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Forças Militares            ,Forças Militares                                ,Irish Republican Army (IRA)                       ,0,3
United Kingdom      ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,0,0
United Kingdom      ,1994,0,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,0,0
United Kingdom      ,1994,0,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Protestant extremists                             ,0,0
Germany             ,1994,1,1,Infraestrutura      ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,1,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,2
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Volunteer Force (UVF)                      ,1,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,1,0
Germany             ,1994,1,1,Infraestrutura      ,TargetType,Religião,Local de Culto                                  ,Kurdistan Workers' Party (PKK)                    ,0,0
Spain               ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1994,1,1,Infraestrutura      ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Extremists                       ,0,0
Germany             ,1994,0,1,Desconhecido                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Jornalismo e Media         ,Jornal                                         ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
Germany             ,1994,1,1,Infraestrutura      ,TargetType,Religião,Religião Institution                             ,Kurdistan Workers' Party (PKK)                    ,0,1
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Spain               ,1994,0,0,Assalto                       ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Other                         ,Desconhecido                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Negócios                 ,Turismo                                           ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Protestant extremists                             ,1,0
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
Greece              ,1994,0,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Turks of Western Thrace                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
Germany             ,1994,1,1,Assalto                       ,TargetType,Negócios                 ,Industrial                                        ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
Ireland             ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,1,0
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
Germany             ,1994,1,1,Desconhecido                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
Italy               ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Animal Rights extremists                          ,0,3
Spain               ,1994,1,1,Assassinato                 ,TargetType,Policia              ,Agentes da Policia                      ,Basque Fatherland and Freedom (ETA)               ,1,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Irish Republican Army (IRA)                       ,0,1
Austria             ,1994,1,0,Bombardeamento             ,TargetType,Instituto Educacional    , Edifício Educacional,Desconhecido                                           ,0,3
Spain               ,1994,1,0,Infraestrutura      ,TargetType,Governo                  ,Organização                                      ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Infraestrutura      ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Corsican National Liberation Front         ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Corsican National Liberation Front         ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,10
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Estonia             ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
France              ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Basque Fatherland and Freedom (ETA)               ,0,0
Slovenia            ,1994,1,1,Assassinato                 ,TargetType,Tourists                      ,Desconhecido                                           ,Desconhecido                                           ,1,1
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Bombardeamento             ,TargetType,Policia              ,Organizações Policiais                                    ,Irish Republican Army (IRA)                       ,0,0
Spain               ,1994,1,0,Assalto                       ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,0,2
Greece              ,1994,1,0,Assalto                       ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Assalto                       ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Assalto                       ,TargetType,Governo                  ,Politicos                                      ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Monumento           ,Desconhecido                                           ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Cidadãos e Propriedade ,Casa                                             ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Infraestrutura      ,TargetType,Transportes              ,Bus                                               ,Desconhecido                                           ,0,0
Bulgaria            ,1994,1,0,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,1,0
Spain               ,1994,1,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Basque Fatherland and Freedom (ETA)               ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
Poland              ,1994,0,0,Bombardeamento             ,TargetType,Transportes              ,Bus                                               ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Freedom Fighters (UFF)                     ,0,0
United Kingdom      ,1994,1,1,Assassinato                 ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Ulster Freedom Fighters (UFF)                     ,1,0
Germany             ,1994,1,1,Infraestrutura      ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Poland              ,1994,0,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
United Kingdom      ,1994,1,1,Bombardeamento             ,TargetType,Governo                  ,Politicos                                      ,Ulster Freedom Fighters (UFF)                     ,0,0
France              ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Breton Liberation Front (FLB)                     ,0,0
Germany             ,1994,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
United Kingdom      ,1994,0,1,Assassinato                 ,TargetType,Governo                  ,Politicos                                      ,Ulster Freedom Fighters (UFF)                     ,0,0
Ireland             ,1994,1,1,Bombardeamento             ,TargetType,Transportes              ,Comboio                                             ,Ulster Volunteer Force (UVF)                      ,0,2
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
Portugal            ,1994,1,0,Assalto                       ,TargetType,Policia              ,Agentes da Policia                      ,Desconhecido                                           ,2,0
Spain               ,1994,1,1,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Basque Fatherland and Freedom (ETA)               ,0,0
Germany             ,1994,1,0,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,1
Germany             ,1994,1,1,UnAssalto                     ,TargetType,Negócios                 ,Lojistas                                            ,Neo-Nazi extremists                               ,0,0
Greece              ,1994,1,0,Bombardeamento             ,TargetType,Policia              ,Agentes da Policia                      ,Revolutionary People's Struggle (ELA)             ,1,10
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Bombardeamento             ,TargetType,Governo                  ,Instituições Governamentais                                      ,Desconhecido                                           ,0,0
Germany             ,1994,1,1,Desconhecido                       ,TargetType,Cidadãos e Propriedade ,Desconhecido                                           ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Banco                                              ,Desconhecido                                           ,0,0
Spain               ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Lojistas                                            ,Desconhecido                                           ,0,0
Germany             ,1994,1,1,Assalto                       ,TargetType,Cidadãos e Propriedade ,Civis                                          ,Neo-Nazi extremists                               ,0,1
France              ,1994,1,0,Bombardeamento             ,TargetType,Negócios                 ,Desconhecido                                           ,Desconhecido                                           ,0,0
Germany             ,1994,1,0,Infraestrutura      ,TargetType,Policia              ,Organizações Policiais                                    ,Kurds                                             ,0,0
Germany             ,1994,1,0,Infraestrutura      ,TargetType,Policia              ,Organizações Policiais                                    ,Kurds                                             ,0,0
